iter	Passed	Remaining
414	3146	4436
415	3154	4428
416	3161	4419
417	3168	4411
418	3177	4405
419	3184	4397
420	3193	4392
421	3201	4384
422	3207	4375
423	3215	4367
424	3222	4359
425	3229	4351
426	3238	4345
427	3245	4336
428	3252	4328
429	3260	4322
430	3268	4314
431	3275	4307
432	3283	4298
433	3291	4292
434	3299	4285
435	3306	4277
436	3313	4269
437	3321	4262
438	3329	4254
439	3336	4246
440	3343	4238
441	3351	4230
442	3360	4225
443	3367	4217
444	3375	4210
445	3383	4203
446	3391	4195
447	3399	4188
448	3406	4180
449	3414	4172
450	3421	4165
451	3429	4158
452	3436	4149
453	3444	4141
454	3451	4134
455	3458	4126
456	3466	4119
457	3474	4111
458	3481	4103
459	3488	4095
460	3497	4089
461	3505	4081
462	3512	4073
463	3520	4066
464	3528	4059
465	3535	4051
466	3542	4043
467	3550	4035
468	3557	4027
469	3565	4020
470	3572	4012
471	3579	4004
472	3587	3997
473	3594	3989
474	3602	3982
475	3609	3973
476	3617	3966
477	3624	3958
478	3631	3950
479	3639	3942
480	3646	3934
481	3653	3925
482	3660	3917
483	3668	3910
484	3677	3904
485	3684	3896
486	3691	3889
487	3700	3882
488	3707	3874
489	3715	3867
490	3723	3859
491	3732	3853
492	3741	3847
493	3749	3840
494	3757	3833
495	3765	3825
496	3771	3817
497	3779	3810
498	3787	3802
499	3796	3796
500	3803	3788
501	3811	3781
502	3818	3773
503	3827	3767
504	3836	3760
505	3844	3753
506	3852	3745
507	3860	3738
508	3868	3731
509	3876	3724
510	3884	3717
511	3892	3709
512	3901	3703
513	3909	3696
514	3916	3688
515	3924	3681
516	3932	3674
517	3941	3667
518	3949	3660
519	3957	3653
520	3965	3645
521	3973	3638
522	3980	3630
523	3989	3623
524	3997	3616
525	4006	3610
526	4015	3604
527	4024	3597
528	4033	3591
529	4041	3584
530	4050	3577
531	4058	3570
532	4066	3562
533	4075	3556
534	4083	3549
535	4092	3542
536	4100	3535
537	4109	3528
538	4116	3520
539	4123	3513
540	4132	3505
541	4140	3498
542	4149	3492
543	4156	3484
544	4164	3476
545	4172	3469
546	4180	3462
547	4191	3457
548	4199	3449
549	4207	3442
550	4215	3435
551	4223	3428
552	4231	3420
553	4240	3413
554	4248	3406
555	4256	3398
556	4263	3391
557	4271	3383
558	4279	3376
559	4289	3370
560	4296	3362
561	4305	3355
562	4313	3348
563	4321	3340
564	4329	3333
565	4337	3325
566	4345	3318
567	4354	3311
568	4361	3303
569	4370	3297
570	4378	3289
571	4386	3282
572	4394	3274
573	4402	3267
574	4409	3259
575	4417	3251
576	4424	3243
577	4431	3235
578	4438	3227
579	4447	3220
580	4455	3213
581	4463	3205
582	4470	3197
583	4478	3190
584	4486	3182
585	4494	3175
586	4501	3167
587	4510	3160
588	4518	3152
589	4525	3145
590	4533	3137
591	4540	3129
592	4548	3121
593	4555	3113
594	4563	3106
595	4570	3097
596	4577	3090
597	4584	3081
598	4591	3073
599	4598	3065
600	4605	3057
601	4613	3050
602	4621	3042
603	4630	3035
604	4638	3028
605	4647	3021
606	4655	3013
607	4662	3005
608	4670	2998
609	4678	2991
610	4686	2983
611	4693	2975
612	4700	2967
613	4708	2960
614	4716	2952
615	4723	2944
616	4731	2936
617	4739	2929
618	4746	2921
619	4753	2913
620	4760	2905
621	4767	2897
622	4774	2889
623	4782	2881
624	4789	2873
625	4797	2866
626	4806	2859
627	4813	2851
628	4820	2843
629	4828	2835
630	4835	2827
631	4843	2820
632	4850	2812
633	4858	2805
634	4866	2797
635	4874	2789
636	4882	2782
637	4889	2774
638	4896	2766
639	4904	2759
640	4912	2751
641	4920	2743
642	4928	2736
643	4937	2729
644	4944	2721
645	4951	2713
646	4959	2705
647	4965	2697
648	4973	2689
649	4980	2681
650	4988	2674
651	4995	2666
652	5003	2658
653	5010	2651
654	5017	2643
655	5026	2635
656	5034	2628
657	5042	2621
658	5049	2612
659	5057	2605
660	5065	2597
661	5072	2589
662	5080	2582
663	5087	2574
664	5094	2566
665	5102	2558
666	5109	2550
667	5116	2542
668	5124	2535
669	5132	2528
670	5140	2520
671	5147	2512
672	5155	2505
673	5163	2497
674	5170	2489
675	5179	2482
676	5186	2474
677	5195	2467
678	5202	2459
679	5209	2451
680	5217	2444
681	5226	2436
682	5234	2429
683	5242	2421
684	5249	2414
685	5257	2406
686	5265	2399
687	5273	2391
688	5281	2383
689	5288	2375
690	5296	2368
691	5304	2360
692	5311	2353
693	5320	2345
694	5328	2338
695	5336	2330
696	5343	2322
697	5351	2315
698	5358	2307
699	5366	2299
700	5374	2292
701	5387	2286
702	5395	2279
703	5403	2271
704	5410	2263
705	5418	2256
706	5426	2248
707	5433	2241
708	5441	2233
709	5448	2225
710	5456	2217
711	5464	2210
712	5473	2203
713	5481	2195
714	5488	2187
715	5496	2180
716	5503	2172
717	5511	2164
718	5518	2156
719	5526	2149
720	5534	2141
721	5543	2134
722	5550	2126
723	5557	2118
724	5565	2110
725	5572	2103
726	5580	2095
727	5588	2088
728	5596	2080
729	5604	2072
730	5611	2064
731	5619	2057
732	5626	2049
733	5634	2041
734	5641	2034
735	5649	2026
736	5657	2018
737	5664	2010
738	5672	2003
739	5680	1995
740	5688	1988
741	5696	1980
742	5704	1973
743	5712	1965
744	5720	1957
745	5727	1950
746	5735	1942
747	5742	1934
748	5750	1927
749	5758	1919
750	5765	1911
751	5773	1903
752	5780	1896
753	5788	1888
754	5796	1880
755	5804	1873
756	5811	1865
757	5819	1858
758	5827	1850
759	5835	1842
760	5842	1834
761	5849	1827
762	5857	1819
763	5865	1811
764	5872	1803
765	5881	1796
766	5890	1789
767	5897	1781
768	5905	1773
769	5913	1766
770	5920	1758
771	5928	1750
772	5936	1743
773	5944	1735
774	5951	1727
775	5958	1720
776	5967	1712
777	5975	1704
778	5982	1697
779	5989	1689
780	5997	1681
781	6006	1674
782	6013	1666
783	6023	1659
784	6030	1651
785	6038	1644
786	6046	1636
787	6053	1628
788	6061	1621
789	6069	1613
790	6077	1605
791	6086	1598
792	6093	1590
793	6101	1583
794	6110	1575
795	6118	1568
796	6126	1560
797	6133	1552
798	6142	1545
799	6149	1537
800	6156	1529
801	6164	1521
802	6174	1514
803	6181	1507
804	6189	1499
805	6197	1491
806	6205	1484
807	6213	1476
808	6220	1468
809	6227	1460
810	6235	1453
811	6243	1445
812	6250	1437
813	6258	1429
814	6265	1422
815	6273	1414
816	6281	1406
817	6290	1399
818	6297	1391
819	6305	1384
820	6313	1376
821	6321	1368
822	6329	1361
823	6337	1353
824	6344	1345
825	6352	1338
826	6360	1330
827	6368	1322
828	6376	1315
829	6383	1307
830	6391	1299
831	6399	1292
832	6407	1284
833	6415	1276
834	6423	1269
835	6431	1261
836	6438	1253
837	6446	1246
838	6453	1238
839	6460	1230
840	6467	1222
841	6475	1215
842	6484	1207
843	6492	1199
844	6499	1192
845	6506	1184
846	6514	1176
847	6521	1169
848	6528	1161
849	6537	1153
850	6545	1146
851	6552	1138
852	6560	1130
853	6568	1122
854	6575	1115
855	6582	1107
856	6589	1099
857	6596	1091
858	6605	1084
859	6613	1076
860	6620	1068
861	6628	1061
862	6635	1053
863	6643	1045
864	6651	1038
865	6659	1030
866	6666	1022
867	6674	1015
868	6682	1007
869	6688	999
870	6696	991
871	6706	984
872	6713	976
873	6721	968
874	6728	961
875	6736	953
876	6744	945
877	6751	938
878	6758	930
879	6766	922
880	6773	914
881	6782	907
882	6789	899
883	6798	892
884	6807	884
885	6815	876
886	6823	869
887	6831	861
888	6839	854
889	6847	846
890	6855	838
891	6863	831
892	6870	823
893	6878	815
894	6887	808
895	6894	800
896	6902	792
897	6909	784
898	6917	777
899	6925	769
900	6932	761
901	6940	754
902	6948	746
903	6955	738
904	6964	731
905	6972	723
906	6980	715
907	6988	708
908	6995	700
909	7002	692
910	7010	684
911	7017	677
912	7024	669
913	7032	661
914	7040	654
915	7048	646
916	7056	638
917	7065	631
918	7075	623
919	7083	615
920	7096	608
921	7103	600
922	7110	593
923	7118	585
924	7125	577
925	7133	570
926	7141	562
927	7147	554
928	7155	546
929	7163	539
930	7171	531
931	7178	523
932	7186	516
933	7195	508
934	7202	500
935	7209	492
936	7217	485
937	7224	477
938	7232	469
939	7239	462
940	7247	454
941	7256	446
942	7264	439
943	7271	431
944	7279	423
945	7286	415
946	7294	408
947	7301	400
948	7309	392
949	7317	385
950	7325	377
951	7334	369
952	7341	362
953	7348	354
954	7357	346
955	7364	338
956	7373	331
957	7381	323
958	7389	315
959	7397	308
960	7405	300
961	7414	292
962	7421	285
963	7428	277
964	7436	269
965	7443	261
966	7451	254
967	7459	246
968	7466	238
969	7473	231
970	7480	223
971	7495	215
972	7502	208
973	7510	200
974	7518	192
975	7526	185
976	7534	177
977	7542	169
978	7550	161
979	7558	154
980	7566	146
981	7573	138
982	7580	131
983	7587	123
984	7595	115
985	7602	107
986	7610	100
987	7619	92
988	7627	84
989	7634	77
990	7642	69
991	7651	61
992	7659	53
993	7666	46
994	7674	38
995	7682	30
996	7691	23
997	7700	15
998	7708	7
999	7716	0
