iter	MultiClass
244	0.07110092281
245	0.07105651823
246	0.0710177219
247	0.07093958384
248	0.07086339576
249	0.07081358697
250	0.07074811724
251	0.07067155235
252	0.07044628358
253	0.07032901536
254	0.07013708819
255	0.06996173146
256	0.06988071751
257	0.06979814117
258	0.06971755453
259	0.06964865212
260	0.06953958355
261	0.06944001241
262	0.06922100042
263	0.06899080981
264	0.06895145903
265	0.068868095
266	0.06881761269
267	0.06876342283
268	0.06867983789
269	0.06855319476
270	0.06847325766
271	0.06845160314
272	0.06840286553
273	0.06835075012
274	0.06821708341
275	0.06819585976
276	0.06798995023
277	0.06791819112
278	0.06778149477
279	0.06769383522
280	0.06765660489
281	0.06759978095
282	0.06745108642
283	0.06740217648
284	0.06735198426
285	0.06732497373
286	0.0672743939
287	0.0672131644
288	0.06713205098
289	0.0670710914
290	0.06699022615
291	0.06696026896
292	0.06689669908
293	0.06683917344
294	0.06681375767
295	0.06669224209
296	0.0666521004
297	0.06651501842
298	0.06646417722
299	0.06635622398
300	0.06633358961
301	0.06619167956
302	0.06615532967
303	0.06609075431
304	0.06604060172
305	0.06592323261
306	0.0658902404
307	0.06583999721
308	0.06581075363
309	0.06574269463
310	0.06561732894
311	0.06558839454
312	0.06551360542
313	0.06548256181
314	0.06544711107
315	0.0653931637
316	0.06534213286
317	0.06521644424
318	0.06512570217
319	0.06510351177
320	0.06506057132
321	0.06500252509
322	0.06498917152
323	0.06493957927
324	0.0648694027
325	0.06479589347
326	0.06461863783
327	0.06455783229
328	0.06451405436
329	0.06447147303
330	0.06440319799
331	0.06435159059
332	0.06431230279
333	0.06421101983
334	0.06418540411
335	0.06412341121
336	0.06411032841
337	0.06405820787
338	0.06398793104
339	0.06397274142
340	0.06389561116
341	0.06385212995
342	0.06383488791
343	0.06377940963
344	0.06375943631
345	0.06373227136
346	0.06364975248
347	0.06350991247
348	0.06348329499
349	0.06345979977
350	0.06340292851
351	0.06336683911
352	0.06333802226
353	0.06322345284
354	0.06309451801
355	0.06305600224
356	0.06301899924
357	0.06298895704
358	0.06295494732
359	0.06291728641
360	0.06285195111
361	0.06276487954
362	0.06269973022
363	0.06264462997
364	0.06259073055
365	0.06253974847
366	0.06249559022
367	0.06247072016
368	0.06242441519
369	0.06239363478
370	0.06236644798
371	0.06231317164
372	0.0622884546
373	0.06226834458
374	0.06224451587
375	0.06221501995
376	0.06215897855
377	0.06205246182
378	0.06201243919
379	0.06193845191
380	0.06191105199
381	0.06186828545
382	0.06182501068
383	0.06172221671
384	0.06167726058
385	0.06162231214
386	0.06155946534
387	0.06150082903
388	0.06133543338
389	0.06129217562
390	0.06125252564
391	0.06117562075
392	0.06108558065
393	0.06103403682
394	0.06094051588
395	0.06086661233
396	0.06084594644
397	0.06082528353
398	0.06069333515
399	0.06064471338
400	0.06054224222
401	0.06045481363
402	0.06039298171
403	0.06037366859
404	0.06025338646
405	0.06018157618
406	0.06009928213
407	0.06007593874
408	0.06003530295
409	0.06000267663
410	0.05996881263
411	0.05988089599
412	0.05982153723
413	0.05978944421
414	0.05972762704
415	0.0597086832
416	0.05955636377
417	0.05953958601
418	0.05947583993
419	0.05943201064
420	0.05936939399
421	0.05928396326
422	0.05925622078
423	0.05920973632
424	0.05917412058
425	0.05912865842
426	0.05906540357
427	0.05904383672
428	0.05901768495
429	0.05897134344
430	0.05891323564
431	0.0588664642
432	0.05884614338
433	0.05877872262
434	0.05870796788
435	0.05867174227
436	0.05866375782
437	0.05864920649
438	0.05860403707
439	0.05859150116
440	0.05853034929
441	0.05847868604
442	0.05844477989
443	0.05842206155
444	0.05837865365
445	0.05834512989
446	0.05828945277
447	0.05826132584
448	0.05821085271
449	0.05812981013
450	0.05808369375
451	0.0580261551
452	0.05798356888
453	0.05794672472
454	0.05790420125
455	0.05786499063
456	0.05783485517
457	0.05779322061
458	0.05777851444
459	0.05771813796
460	0.05762565882
461	0.05759477334
462	0.05757237405
463	0.05746667543
464	0.0573984815
465	0.0573821926
466	0.05735790805
467	0.0573340201
468	0.05729299646
469	0.05725409686
470	0.05713381804
471	0.057103893
472	0.05702318979
473	0.05700007936
474	0.05693704928
475	0.05687102376
476	0.05678783408
477	0.05676262314
478	0.05674018149
479	0.05665382427
480	0.05662008972
481	0.05657700532
482	0.05654206542
483	0.05650197679
484	0.05645100789
485	0.05642252168
486	0.0563963018
487	0.05635789271
488	0.05634576933
489	0.05630803553
490	0.05628631172
491	0.05625683048
492	0.05620565942
493	0.05616987851
494	0.05610058785
495	0.05609180966
496	0.05605590533
497	0.0560030832
498	0.05596602436
499	0.05594755061
500	0.05593046445
501	0.05587867279
502	0.05585119474
503	0.05577645654
504	0.05569968083
505	0.05567202394
506	0.05565331674
507	0.05562738673
508	0.05556570304
509	0.05552717076
510	0.05549068555
511	0.0554540899
512	0.05540937447
513	0.05534778127
514	0.0553299206
515	0.05531485299
516	0.05529145928
517	0.05525701943
518	0.05524858535
519	0.05522461556
520	0.0551958662
521	0.05517125037
522	0.05514958591
523	0.05509031867
524	0.05505728837
525	0.05503186867
526	0.05499383423
527	0.05493328231
528	0.05488423061
529	0.05485041874
530	0.054796335
531	0.05476943026
532	0.05472080818
533	0.05465652577
534	0.05460016714
535	0.05453844116
536	0.05443512974
537	0.05441501851
538	0.05438840076
539	0.05437174398
540	0.05435828234
541	0.05431492144
542	0.05429060011
543	0.05425800338
544	0.05424346845
545	0.05418010502
546	0.05407073798
547	0.05402580021
548	0.05398034273
549	0.05395037214
550	0.05393306666
551	0.0538673941
552	0.05385484113
553	0.053811428
554	0.05378637379
555	0.05371574211
556	0.05366227682
557	0.05362777197
558	0.05358738943
559	0.05353480321
560	0.05350632479
561	0.05348054516
562	0.05343724392
563	0.05340744409
564	0.05339231727
565	0.05337468482
566	0.0533678301
567	0.05334397879
568	0.05332644831
569	0.05328212993
570	0.05323944147
571	0.05321332683
572	0.0531663231
573	0.05314496477
574	0.05311606884
575	0.05310113159
576	0.05306597476
577	0.05302633916
578	0.05296409913
579	0.05292603776
580	0.05286659825
581	0.05283682934
582	0.05276890258
583	0.05275437177
584	0.05271971357
585	0.05267231134
586	0.0526325104
587	0.05259021631
588	0.05253340071
589	0.05251298706
590	0.05247140906
591	0.05245333801
592	0.05240790299
593	0.05237701513
594	0.05233055644
595	0.05229888224
596	0.05226505217
597	0.05223234496
598	0.05221590239
599	0.05218459561
600	0.05216217933
601	0.0521319388
602	0.05211780961
603	0.05209458095
604	0.05205114246
605	0.05201569629
606	0.05198392724
607	0.05195512088
608	0.05193878552
609	0.05186135756
610	0.05179030552
611	0.05176757069
612	0.05168564607
613	0.05165140289
614	0.05159107527
615	0.05154461563
616	0.05148938549
617	0.05144002665
618	0.05138941914
619	0.05133752853
620	0.0512953407
621	0.05127206271
622	0.05124501842
623	0.05121743695
624	0.05119309711
625	0.05117770659
626	0.05111404588
627	0.05106892451
628	0.05104229061
629	0.05100997422
630	0.05098796382
631	0.05094375532
632	0.05089572398
633	0.05087065387
634	0.05082454127
635	0.05080514146
636	0.05074633376
637	0.05072986287
638	0.05068745189
639	0.0506555717
640	0.05061222545
641	0.05057218955
642	0.05052211062
643	0.05048647197
644	0.05045017294
645	0.05043416345
646	0.05041574222
647	0.05039184671
648	0.05037492578
649	0.05034210946
650	0.05032431243
651	0.05031077293
652	0.05029572126
653	0.05026031634
654	0.05021736366
655	0.05018021671
656	0.05013268588
657	0.05009118263
658	0.0500724511
659	0.0500274275
660	0.05000439461
661	0.04998188971
662	0.04994784472
663	0.04993343798
664	0.04992320406
665	0.04987541216
666	0.04982507821
667	0.04980002281
668	0.04978331523
669	0.04976144927
670	0.0496817494
671	0.04964900138
672	0.04956990951
673	0.04950423126
674	0.04947780878
675	0.04941455801
676	0.04939528182
677	0.04936100916
678	0.04932845021
679	0.04931261931
680	0.04926321553
681	0.0492036156
682	0.04917706451
683	0.04915786362
684	0.04912984771
685	0.04909633047
686	0.04908073186
687	0.04906046289
688	0.04904180305
689	0.0490347176
690	0.04898284718
691	0.04893618569
692	0.04892473505
693	0.0489093918
694	0.04889363127
695	0.04885815764
696	0.04884931074
697	0.04882182016
698	0.04880250891
699	0.04876972478
700	0.04873942462
701	0.04868542903
702	0.04862345406
703	0.04857688631
704	0.04855496585
705	0.04851979457
706	0.04847714127
707	0.04845285377
708	0.04843393102
709	0.04839851017
710	0.04837679625
711	0.04834857857
712	0.04832998781
713	0.04829270752
714	0.04825210975
715	0.04820349677
716	0.04818936081
717	0.04816050696
718	0.04814784134
719	0.04810596739
720	0.04809367705
721	0.04804782103
722	0.04800765025
723	0.04799965246
724	0.04795110125
725	0.04791641826
726	0.04787293829
727	0.04784316391
728	0.04781664958
729	0.04779740416
730	0.04777786471
731	0.04774902182
732	0.04772397929
733	0.04771067689
734	0.04769068772
735	0.0476755342
736	0.04765178268
737	0.04762834043
738	0.04757169164
739	0.04753100797
740	0.04747235494
741	0.0474452023
742	0.04741196918
743	0.04738750325
744	0.04737332398
745	0.04735598571
746	0.04731523978
747	0.04729269079
748	0.04726674951
749	0.04724405587
750	0.04722291029
751	0.04717312857
752	0.04716340889
753	0.04712627512
754	0.04708275803
755	0.04705467352
756	0.04703573983
757	0.04700454605
758	0.04696698489
759	0.0468930245
760	0.04685103569
761	0.0468249889
762	0.04681007692
763	0.04678954886
764	0.04677339168
765	0.04675586701
766	0.0467230426
767	0.04670374687
768	0.04663304537
769	0.04660619625
770	0.04656410868
771	0.04654499668
772	0.04650606716
773	0.04648576225
774	0.04644986592
775	0.04641013133
776	0.04637667035
777	0.04635814981
778	0.0462700489
779	0.04624878912
780	0.04620973934
781	0.04618186098
782	0.04617338535
783	0.04615956894
784	0.04613068869
785	0.04611607441
786	0.04610124292
787	0.04606468393
788	0.04601239831
789	0.04599398103
790	0.04596293389
791	0.04594876618
792	0.04592610014
793	0.04590726051
794	0.045880866
795	0.04582781168
796	0.04581179286
797	0.04577788207
798	0.04574587762
799	0.04572522181
800	0.04570021971
801	0.04564546176
802	0.04562005805
803	0.04559344179
804	0.04556045204
805	0.04554831895
806	0.04552019747
807	0.04549341042
808	0.04548594431
809	0.04546346821
810	0.04544433589
811	0.04541609236
812	0.04538868066
813	0.04537503674
814	0.04535431862
815	0.04534444711
816	0.04531889599
817	0.04525649651
818	0.04523006493
819	0.04520626652
820	0.04515798772
821	0.04514482105
822	0.04509278894
823	0.04506542625
824	0.04501736048
825	0.04499458826
826	0.04496775936
827	0.0449550036
828	0.04493794954
829	0.04492191522
830	0.04488635057
831	0.04485309199
832	0.04483124853
833	0.04478626921
834	0.04475487048
835	0.0447383635
836	0.04468058154
837	0.04465782441
838	0.04464361719
839	0.04463127274
840	0.04458031593
841	0.0445654198
842	0.04454497756
843	0.04451415696
844	0.04450248648
845	0.04448296215
846	0.0444690013
847	0.04444678232
848	0.04440378876
849	0.04436866276
850	0.04431721291
851	0.04430145431
852	0.04427568297
853	0.04423149409
854	0.04421573774
855	0.04418255263
856	0.04415185702
857	0.04413270381
858	0.04408827991
859	0.04406440993
860	0.04403092378
861	0.04400437976
862	0.04397891488
863	0.0439540415
864	0.04392519953
865	0.04390251462
866	0.04387581678
867	0.04386272356
868	0.04385084449
869	0.04383918959
870	0.04380396205
871	0.04376589678
872	0.04374302028
873	0.04372386383
874	0.04369301073
875	0.04364361657
876	0.04363423462
877	0.0436207074
878	0.04358762657
879	0.04357205549
880	0.04354830975
881	0.04353930115
882	0.04351310498
883	0.04347997064
884	0.04347080963
885	0.04340805817
886	0.04339091844
887	0.04330494263
888	0.04323274879
889	0.0432011599
890	0.04315993629
891	0.04312988129
892	0.04311145513
893	0.04308198441
894	0.04306192658
895	0.04305159446
896	0.04303897879
897	0.04302901616
898	0.04297445833
899	0.04294769572
900	0.04292627765
901	0.0428968764
902	0.04288027503
903	0.04286851359
904	0.04283344775
905	0.04279092127
906	0.0427500062
907	0.04272000286
908	0.04270755768
909	0.04265930803
910	0.04263465524
911	0.04260706051
912	0.04259442592
913	0.042547337
914	0.04252472913
915	0.04250038325
916	0.04241122675
917	0.04239930953
918	0.04236661192
919	0.04232059644
920	0.04227464652
921	0.04225849436
922	0.04223816914
923	0.04222396697
924	0.0422103119
925	0.04218674845
926	0.04217148108
927	0.04215113374
928	0.04212548425
929	0.04211273963
930	0.04209124287
931	0.04203122195
932	0.04202077754
933	0.04198674721
934	0.04196486479
935	0.04193065076
936	0.04190067453
937	0.04185065091
938	0.04182872607
939	0.04181697417
940	0.04180404194
941	0.04178908479
942	0.04175205379
943	0.04170462992
944	0.04167925449
945	0.04167116325
946	0.04164046355
947	0.04160980308
948	0.04159087881
949	0.04156615785
950	0.04155214775
951	0.0415219876
952	0.0415125457
953	0.04148556025
954	0.04144851713
955	0.04141645567
956	0.04139886659
957	0.0413763001
958	0.04135463536
959	0.04133639895
960	0.04131971236
961	0.04130398668
962	0.04129816976
963	0.04127818471
964	0.04126893596
965	0.04123713371
966	0.04121563828
967	0.04119564397
968	0.04114727988
969	0.04113123949
970	0.04111335661
971	0.04109418927
972	0.04106235406
973	0.04104188015
974	0.04102026163
975	0.04100206252
976	0.04094893302
977	0.04092502474
978	0.04088919452
979	0.04086090073
980	0.04084314922
981	0.04082986052
982	0.04081912405
983	0.04076426429
984	0.04072651182
985	0.04071266035
986	0.04068537047
987	0.04065625336
988	0.04059693175
989	0.04057268825
990	0.04056151178
991	0.04054077474
992	0.04052781542
993	0.04051373208
994	0.04045886094
995	0.04042780033
996	0.04039683443
997	0.04036747599
998	0.04035963559
999	0.04032002465
